set_voltage_V,throttle_pct,n,terminal_voltage_V,current_A,power_W,thrust_N,thrust_g_abs,propulsive_efficiency_at_13ms,effective_voltage_V,thrust_std_N,power_std_W,voltage_filter_cut_V
22.0,43.0,262,21.6399993896484,3.45692896842957,74.5624237060547,2.8243152,288.0,0.4924209243082657,9.305199737548811,0.2014633499006846,0.87309243834346,20.990799407958946
22.0,44.5,276,21.6009998321533,3.82016611099243,82.2843017578125,3.1773545999999997,324.0,0.5019865140446212,9.612444925308218,0.23896311234497614,1.1296769975270036,20.990799407958946
22.0,46.0,323,21.5620002746582,4.21552610397339,90.6856994628906,3.6284604999999996,370.0,0.5201480142886518,9.918520126342772,0.20448193321007221,0.9424140014729833,20.990799407958946
22.0,47.6,317,21.5130004882813,4.6677188873291,100.137275695801,4.069759749999999,415.0,0.5283434803111836,10.240188232421898,0.22644019220390194,1.00881177256713,20.990799407958946
22.0,49.0,314,21.4659996032715,5.10261535644531,109.279983520508,4.44241245,453.0,0.5284715461103827,10.518339805603034,0.2507246061905092,1.2463370614057674,20.990799407958946
22.0,50.5,318,21.4179992675781,5.60175704956055,119.658172607422,4.95235825,505.0,0.5380381117905078,10.816089630126939,0.18384470294261573,0.9297382726969058,20.990799407958946
22.0,52.0,326,21.3729991912842,6.03171110153198,128.615539550781,5.413270799999999,552.0,0.5471541047511989,11.113959579467785,0.20586857428716532,1.062997881835686,20.990799407958946
22.0,53.5,285,21.3229999542236,6.51108503341675,138.561309814453,5.7859235,590.0,0.542842771916077,11.407804975509626,0.19032344482931915,1.0969306248253619,20.990799407958946
22.0,55.0,260,21.2649993896484,7.09424161911011,150.607437133789,6.34490255,647.0,0.5476737053610923,11.69574966430662,0.21149330913956013,1.0408617382592513,20.990799407958946
22.0,55.9,309,21.076000213623,7.30427598953247,153.634429931641,6.4331624,656.0,0.5443513621081636,11.781484119415257,0.2186369210577452,0.6472778012861659,20.990799407958946
23.5,40.0,314,23.1569995880127,3.3037269115448,76.3539047241211,2.8831550999999997,294.0,0.4908853900193437,9.26279983520508,0.23275705876116373,0.783479111876054,22.462289600372316
23.5,41.5,327,23.1219997406006,3.64225387573242,84.0757751464844,3.334261,340.0,0.5155515120078257,9.59562989234925,0.19991378625378176,0.7915711835858364,22.462289600372316
23.5,43.0,332,23.0769996643066,4.04502725601196,93.2184829711914,3.79517355,387.0,0.5292647399684393,9.923109855651838,0.20013201536046038,1.1713272708986464,22.462289600372316
23.5,44.5,317,23.0359992980957,4.48733615875244,103.226028442383,4.2364728,432.0,0.5335296458755107,10.251019687652585,0.2093199234618066,0.8963184551850205,22.462289600372316
23.5,46.0,323,22.9899997711182,4.91234827041626,112.739379882813,4.697385349999999,479.0,0.5416564257624539,10.575399894714371,0.21236674542824935,1.0359967470511164,22.462289600372316
23.5,47.6,396,22.9409999847412,5.39913511276245,123.673553466797,5.2269444499999995,533.0,0.5494325661811181,10.919915992736811,0.19404349406147461,0.8940550151697135,22.462289600372316
23.5,49.0,380,22.882999420166,5.97734928131104,136.646301269531,5.7663101999999995,588.0,0.5485844249244587,11.21266971588134,0.2206780554777054,1.1953444416817987,22.462289600372316
23.5,50.5,313,22.8269996643066,6.52344036102295,148.692428588867,6.3939357999999995,652.0,0.5590141084441438,11.527634830474833,0.22315742424296917,1.3623105025364861,22.462289600372316
23.5,51.1,261,22.806999206543,6.713707447052,152.954895019531,6.5312289,666.0,0.5551046646082053,11.654376594543473,0.21506536416194255,1.0104508141898543,22.462289600372316
25.0,37.0,337,24.6830005645752,3.04674291610718,75.0566329956055,2.941995,300.0,0.5095610271012192,9.132710208892824,0.22762066624216215,0.7241898650672395,23.94251054763794
25.0,38.5,331,24.6429996490479,3.46434211730957,85.2495040893555,3.334261,340.0,0.5084533155121571,9.487554864883442,0.17863257221440743,0.7364614782247026,23.94251054763794
25.0,40.0,299,24.6030006408691,3.84240508079529,94.515754699707,3.7363336499999997,381.0,0.5139073121123856,9.84120025634764,0.20981237568474514,0.6604831541946752,23.94251054763794
25.0,41.5,290,24.5629997253418,4.22788095474243,103.782005310059,4.05014645,413.0,0.5073317256946156,10.193644886016846,0.21961212785713452,0.9761367042104215,23.94251054763794
25.0,43.0,357,24.5149993896484,4.72702312469482,115.828132629395,4.63854545,473.0,0.5206083313363952,10.541449737548811,0.1973695553732368,0.9467737600341649,23.94251054763794
25.0,44.5,386,24.4680004119873,5.16191911697388,126.206321716309,5.1386845999999995,524.0,0.5293150049183898,10.888260183334348,0.20357310983260699,1.1100390292485394,23.94251054763794
25.0,46.0,316,24.4209995269775,5.6289381980896,137.325820922852,5.6094038,572.0,0.5310163005758899,11.23365978240965,0.21284483813340477,1.0479687214169482,23.94251054763794
25.0,47.2,311,24.3810005187988,6.0070013999939,146.40673828125,6.001669799999999,612.0,0.532910631818864,11.507832244873034,0.23463632772006604,1.1655985169926824,23.94251054763794
25.0,48.1,868,24.3419990539551,6.37023782730103,154.993469238281,6.398839124999999,652.5,0.5366994431043718,11.708501544952403,0.22924747216501412,1.3567670269789038,23.94251054763794
