"TimeUS","NavRoll","Roll","NavPitch","Pitch","ThO","RdO","ThD","As","AsT","E2T","GU","ap_time_s"
"3059985","0","0","-2.85","-2.85","0","0","0","0","2","0.999976","0","3.059985"
"3099985","0","0","-2.89","-2.89","43.75","0","0","0","2","0.999976","0","3.099985"
"3139985","0","0","-2.91","-2.91","43.75","0","0","0","2","0.9999876","0","3.139985"
"3179985","0","0","-2.93","-2.93","43.625","0","0","0","2","0.9999876","0","3.179985"
"3219985","0","0","-2.93","-2.93","43.375","0","0","0","2","0.9999876","0","3.219985"
"3259985","0","0","-2.91","-2.91","43.125","0","0","0","2","0.9999858","0","3.259985"
"3299985","0","0","-2.86","-2.86","42.75","0","0","0","2","0.9999858","0","3.299985"
"3359984","0","0.01","0.65","-2.77","42.5","0","0","0","2","0.999993","0","3.359984"
"3399984","0","0.01","0.71","-2.68","42","0","0","0","2","0.999993","0","3.399984"
"3439984","0","0.01","0.72","-2.49","41.625","0","0","0","2","0.999993","0","3.439984"
"3479984","0","0.01","0.72","-2.15","41.375","1","0","0","2","0.9999926","0","3.479984"
"3519984","0","0.01","0.77","-1.71","41.125","1","0","0","2","0.9999926","0","3.519984"
"3559984","0","0.01","0.77","-1.17","40.875","1","0","0","2","0.9999762","0","3.559984"
"3599984","0","0.01","0.77","-0.59","40.75","1","0","0","2","0.9999762","0","3.599984"
"3639984","0","0.02","0.77","-0.01","40.5","1","0","0","2","0.9999762","0","3.639984"
"3679984","0","0.02","0.77","0.52","40.375","1","0","0","2","0.9999791","0","3.679984"
"3719984","0","0.02","0.81","0.97","40.375","1","0","0","2","0.9999791","0","3.719984"
"3759984","0","0.02","0.81","1.32","40.375","1","0","0","2","0.999983","0","3.759984"
"3799984","0","0.02","0.81","1.54","40.375","1","0","0","2","0.999983","0","3.799984"
"3859983","0","0.02","0.77","1.62","40.375","1","0","0","2","0.999983","0","3.859983"
"3899983","0","0.02","0.77","1.53","40.5","1","0","0","2","0.9999858","0","3.899983"
"3939983","0","0.02","0.77","1.34","40.625","1","0","0","2","0.9999858","0","3.939983"
"3979983","0","0.02","0.77","1.07","40.75","1","0","0","2","0.9999725","0","3.979983"
"4019983","0","0.02","0.72","0.76","40.875","1","0","0","2","0.9999725","0","4.019983"
"4079981","0","0.02","0.72","0.3","41","1","0","0","2","0.9999725","0","4.079981"
"4139979","0","0.02","0.77","-0.06","41.125","1","0","0","2","0.9999762","0","4.139979"
"4199978","0","0.02","0.77","-0.26","41.125","1","0","0","2","0.9999762","0","4.199978"
"4239978","0","0.02","0.72","-0.29","41.125","1","0","0","2","0.9999888","0","4.239978"
"4279978","0","0.02","0.72","-0.23","41.125","1","0","0","2","0.9999888","0","4.279978"
"4319978","0","0.02","0.72","-0.08","41.125","0","0","0","2","0.9999888","0","4.319978"
"4359978","0","0.02","0.72","0.11","41","0","0","0","2","0.99998903","0","4.359978"
"4399978","0","0.02","0.72","0.35","41","0","0","0","2","0.99998903","0","4.399978"
"4439978","0","0.02","0.72","0.61","41","0","0","0","2","0.9999786","0","4.439978"
"4479978","0","0.02","0.72","0.84","41","0","0","0","2","0.9999786","0","4.479978"
"4519978","0","0.02","0.72","1.04","41","0","0","0","2","0.9999786","0","4.519978"
"4559978","0","0.02","0.72","1.18","41.125","0","0","0","2","0.99997455","0","4.559978"
"4599978","0","0.02","0.72","1.26","41.125","0","0","0","2","0.99997455","0","4.599978"
"4639978","0","0.02","0.72","1.27","41.125","0","0","0","2","0.9999868","0","4.639978"
"4679978","0","0.02","0.72","1.23","41.25","0","0","0","2","0.9999868","0","4.679978"
"4719978","0","0.02","0.67","1.13","41.375","0","0","0","2","0.9999868","0","4.719978"
"4759978","0","0.02","0.67","0.99","41.375","0","0","0","2","0.999983","0","4.759978"
"4799978","0","0.02","0.67","0.83","41.5","0","0","0","2","0.999983","0","4.799978"
"4839978","0","0.02","0.67","0.66","41.5","0","0","0","2","0.9999919","0","4.839978"
"4879978","0","0.02","0.67","0.49","41.5","0","0","0","2","0.9999919","0","4.879978"
"4919978","0","0.02","0.61","0.35","41.625","0","0","0","2","0.9999919","0","4.919978"
"4959978","0","0.02","0.61","0.23","41.625","0","0","0","2","0.9999819","0","4.959978"
"4999978","0","0.02","0.61","0.15","41.625","0","0","0","2","0.9999819","0","4.999978"
"5039978","14.05","0.02","0.61","0.11","41.625","49","0","0","2","0.999985","0","5.039978"
"5079978","14.05","0.03","0.61","0.12","41.625","73","0","0","2","0.999985","0","5.079978"
"5119978","14.05","0.13","0.61","0.16","41.625","98","0","0","2","0.999985","0","5.119978"
"5159978","14.05","0.4","0.61","0.24","41.625","140","0","0","2","0.9999949","0","5.159978"
"5199978","14.05","0.83","0.61","0.33","41.625","209","0","0","2","0.9999949","0","5.199978"
"5239978","14.05","1.39","0.61","0.44","41.5","305","0","0","2","0.9999895","0","5.239978"
"5279978","14.05","2.03","0.61","0.56","41.5","432","0","0","2","0.9999895","0","5.279978"
"5319978","14.05","2.7","0.61","0.66","41.5","587","0","0","2","0.9999895","0","5.319978"
"5359978","14.05","3.36","0.61","0.75","41.5","771","0","0","2","0.9999885","0","5.359978"
"5399978","14.05","4","0.57","0.82","41.5","973","0","0","2","0.9999885","0","5.399978"
"5439978","14.05","4.6","0.57","0.86","41.625","1189","0","0","2","0.99999034","0","5.439978"
"5479978","14.05","5.16","0.57","0.88","41.625","1408","0","0","2","0.99999034","0","5.479978"
"5519978","14.05","5.66","0.57","0.88","41.625","1620","0","0","2","0.99999034","0","5.519978"
"5559978","14.05","6.11","0.57","0.86","41.625","1811","0","0","2","0.9999823","0","5.559978"
"5599978","14.05","6.52","0.57","0.82","41.625","1974","0","0","2","0.9999823","0","5.599978"
"5639978","14.05","6.89","0.57","0.78","41.75","2097","0","0","2","0.9999993","0","5.639978"
"5679978","14.05","7.23","0.57","0.73","41.75","2174","0","0","2","0.9999993","0","5.679978"
"5719978","14.05","7.56","0.57","0.69","41.75","2199","0","0","2","0.9999993","0","5.719978"
"5759978","14.05","7.86","0.57","0.65","41.75","2163","0","0","2","0.9999925","0","5.759978"
"5799978","14.05","8.15","0.57","0.61","41.75","2076","0","0","2","0.9999925","0","5.799978"
"5839978","14.05","8.43","0.57","0.58","41.75","1935","0","0","2","0.99998695","0","5.839978"
"5879978","14.05","8.72","0.57","0.56","41.75","1747","0","0","2","0.99998695","0","5.879978"
"5919978","14.05","9.01","0.57","0.54","41.75","1521","0","0","2","0.99998695","0","5.919978"
"5959978","14.05","9.31","0.57","0.54","41.625","1262","0","0","2","0.99999034","0","5.959978"
"5999978","14.05","9.6","0.57","0.54","41.625","983","0","0","2","0.99999034","0","5.999978"
"6039978","14.05","9.9","0.57","0.55","41.625","693","0","0","2","0.99999714","0","6.039978"
"6079978","14.05","10.19","0.57","0.56","41.5","403","0","0","2","0.99999714","0","6.079978"
"6119978","14.05","10.48","0.57","0.58","41.5","125","0","0","2","0.99999714","0","6.119978"
"6159978","14.05","10.77","0.57","0.59","41.5","-131","0","0","2","0.9999888","0","6.159978"
"6199978","14.05","11.04","0.57","0.6","41.375","-360","0","0","2","0.9999888","0","6.199978"
"6239978","14.05","11.3","0.57","0.61","41.375","-553","0","0","2","0.99998385","0","6.239978"
"6279978","14.05","11.54","0.57","0.62","41.25","-705","0","0","2","0.99998385","0","6.279978"
"6319978","14.05","11.76","0.57","0.63","41.25","-812","0","0","2","0.99998385","0","6.319978"
"6359978","14.05","11.96","0.57","0.64","41.125","-876","0","0","2","0.999993","0","6.359978"
"6399978","14.05","12.13","0.57","0.64","41.125","-894","0","0","2","0.999993","0","6.399978"
"6439978","14.05","12.26","0.57","0.66","41","-876","0","0","2","0.9999987","0","6.439978"
"6479978","14.05","12.37","0.57","0.68","41","-818","0","0","2","0.9999987","0","6.479978"
