"TimeUS","Dist","TBrg","NavBrg","AltE","XT","XTi","AsE","TLat","TLng","TAW","TAT","TAsp","ap_time_s"
"3059985","0","0","0","0.5","0","0","0","0","0","0","0","0","3.059985"
"3099985","0","0","0","0.5","0","0","0","0","0","0","0","0","3.099985"
"3139985","0","0","0","0.25","0","0","0","0","0","0","0","13","3.139985"
"3179985","0","0","0","0.25","0","0","0","0","0","0","0","13","3.179985"
"3219985","0","0","0","0.25","0","0","0","0","0","0","0","13","3.219985"
"3259985","0","0","0","0.29","0","0","0","0","0","0","0","13","3.259985"
"3299985","0","0","0","0.29","0","0","0","0","0","0","0","13","3.299985"
"3359984","0","0","0","0.14","0","0","0","0","0","0","0","13","3.359984"
"3399984","0","0","0","0.14","0","0","0","0","0","0","0","13","3.399984"
"3439984","0","0","0","0.14","0","0","0","0","0","0","0","13","3.439984"
"3479984","0","0","0","0.15","0","0","0","0","0","0","0","13","3.479984"
"3519984","0","0","0","0.15","0","0","0","0","0","0","0","13","3.519984"
"3559984","0","0","0","0.49","0","0","0","0","0","0","0","13","3.559984"
"3599984","0","0","0","0.49","0","0","0","0","0","0","0","13","3.599984"
"3639984","0","0","0","0.49","0","0","0","0","0","0","0","13","3.639984"
"3679984","0","0","0","0.43","0","0","0","0","0","0","0","13","3.679984"
"3719984","0","0","0","0.43","0","0","0","0","0","0","0","13","3.719984"
"3759984","0","0","0","0.35","0","0","0","0","0","0","0","13","3.759984"
"3799984","0","0","0","0.35","0","0","0","0","0","0","0","13","3.799984"
"3859983","0","0","0","0.35","0","0","0","0","0","0","0","13","3.859983"
"3899983","0","0","0","0.29","0","0","0","0","0","0","0","13","3.899983"
"3939983","0","0","0","0.29","0","0","0","0","0","0","0","13","3.939983"
"3979983","0","0","0","0.57","0","0","0","0","0","0","0","13","3.979983"
"4019983","0","0","0","0.57","0","0","0","0","0","0","0","13","4.019983"
"4079981","0","0","0","0.57","0","0","0","0","0","0","0","13","4.079981"
"4139979","0","0","0","0.49","0","0","0","0","0","0","0","13","4.139979"
"4199978","0","0","0","0.49","0","0","0","0","0","0","0","13","4.199978"
"4239978","0","0","0","0.23","0","0","0","0","0","0","0","13","4.239978"
"4279978","0","0","0","0.23","0","0","0","0","0","0","0","13","4.279978"
"4319978","0","0","0","0.23","0","0","0","0","0","0","0","13","4.319978"
"4359978","0","0","0","0.23","0","0","0","0","0","0","0","13","4.359978"
"4399978","0","0","0","0.23","0","0","0","0","0","0","0","13","4.399978"
"4439978","0","0","0","0.44","0","0","0","0","0","0","0","13","4.439978"
"4479978","0","0","0","0.44","0","0","0","0","0","0","0","13","4.479978"
"4519978","0","0","0","0.44","0","0","0","0","0","0","0","13","4.519978"
"4559978","0","0","0","0.53","0","0","0","0","0","0","0","13","4.559978"
"4599978","0","0","0","0.53","0","0","0","0","0","0","0","13","4.599978"
"4639978","0","0","0","0.27","0","0","0","0","0","0","0","13","4.639978"
"4679978","0","0","0","0.27","0","0","0","0","0","0","0","13","4.679978"
"4719978","0","0","0","0.27","0","0","0","0","0","0","0","13","4.719978"
"4759978","0","0","0","0.35","0","0","0","0","0","0","0","13","4.759978"
"4799978","0","0","0","0.35","0","0","0","0","0","0","0","13","4.799978"
"4839978","0","0","0","0.17","0","0","0","0","0","0","0","13","4.839978"
"4879978","0","0","0","0.17","0","0","0","0","0","0","0","13","4.879978"
"4919978","0","0","0","0.17","0","0","0","0","0","0","0","13","4.919978"
"4959978","0","0","0","0.38","0","0","0","0","0","0","0","13","4.959978"
"4999978","0","0","0","0.38","0","0","0","0","0","0","0","13","4.999978"
"5039978","0","0","0","0.31","0","0","0","0","0","0","0","13","5.039978"
"5079978","0","0","0","0.31","0","0","0","0","0","0","0","13","5.079978"
"5119978","0","0","0","0.31","0","0","0","0","0","0","0","13","5.119978"
"5159978","0","0","0","0.1","0","0","0","0","0","0","0","13","5.159978"
"5199978","0","0","0","0.1","0","0","0","0","0","0","0","13","5.199978"
"5239978","0","0","0","0.22","0","0","0","0","0","0","0","13","5.239978"
"5279978","0","0","0","0.22","0","0","0","0","0","0","0","13","5.279978"
"5319978","0","0","0","0.22","0","0","0","0","0","0","0","13","5.319978"
"5359978","0","0","0","0.24","0","0","0","0","0","0","0","13","5.359978"
"5399978","0","0","0","0.24","0","0","0","0","0","0","0","13","5.399978"
"5439978","0","0","0","0.2","0","0","0","0","0","0","0","13","5.439978"
"5479978","0","0","0","0.2","0","0","0","0","0","0","0","13","5.479978"
"5519978","0","0","0","0.2","0","0","0","0","0","0","0","13","5.519978"
"5559978","0","0","0","0.37","0","0","0","0","0","0","0","13","5.559978"
"5599978","0","0","0","0.37","0","0","0","0","0","0","0","13","5.599978"
"5639978","0","0","0","0.02","0","0","0","0","0","0","0","13","5.639978"
"5679978","0","0","0","0.02","0","0","0","0","0","0","0","13","5.679978"
"5719978","0","0","0","0.02","0","0","0","0","0","0","0","13","5.719978"
"5759978","0","0","0","0.16","0","0","0","0","0","0","0","13","5.759978"
"5799978","0","0","0","0.16","0","0","0","0","0","0","0","13","5.799978"
"5839978","0","0","0","0.27","0","0","0","0","0","0","0","13","5.839978"
"5879978","0","0","0","0.27","0","0","0","0","0","0","0","13","5.879978"
"5919978","0","0","0","0.27","0","0","0","0","0","0","0","13","5.919978"
"5959978","0","0","0","0.2","0","0","0","0","0","0","0","13","5.959978"
"5999978","0","0","0","0.2","0","0","0","0","0","0","0","13","5.999978"
"6039978","0","0","0","0.06","0","0","0","0","0","0","0","13","6.039978"
"6079978","0","0","0","0.06","0","0","0","0","0","0","0","13","6.079978"
"6119978","0","0","0","0.06","0","0","0","0","0","0","0","13","6.119978"
"6159978","0","0","0","0.23","0","0","0","0","0","0","0","13","6.159978"
"6199978","0","0","0","0.23","0","0","0","0","0","0","0","13","6.199978"
