"TimeUS","Name","Value","Default","ap_time_s"
"3059985","FORMAT_VERSION","13","13","3.059985"
"3059985","AUTOTUNE_LEVEL","6","6","3.059985"
"3059985","AUTOTUNE_OPTIONS","0","0","3.059985"
"3059985","GCS_PID_MASK","0","0","3.059985"
"3059985","KFF_RDDRMIX","0.0867","0.0867","3.059985"
"3059985","KFF_THR2PTCH","0","0","3.059985"
"3059985","STAB_PITCH_DOWN","2","2","3.059985"
"3059985","ALT_SLOPE_MIN","15","15","3.059985"
"3059985","ALT_SLOPE_MAXHGT","5","5","3.059985"
"3059985","STICK_MIXING","1","1","3.059985"
"3059985","TKOFF_THR_MINSPD","0","0","3.059985"
"3059985","TKOFF_THR_MINACC","0","0","3.059985"
"3059985","TKOFF_THR_DELAY","2","2","3.059985"
"3059985","TKOFF_THR_MAX_T","4","4","3.059985"
"3059985","TKOFF_THR_MIN","0","0","3.059985"
"3059985","TKOFF_THR_IDLE","0","0","3.059985"
"3059985","TKOFF_OPTIONS","0","0","3.059985"
"3059985","TKOFF_TDRAG_ELEV","0","0","3.059985"
"3059985","TKOFF_TDRAG_SPD1","0","0","3.059985"
"3059985","TKOFF_ROTATE_SPD","0","0","3.059985"
"3059985","TKOFF_THR_SLEW","0","0","3.059985"
"3059985","TKOFF_PLIM_SEC","2","2","3.059985"
"3059985","TKOFF_FLAP_PCNT","0","0","3.059985"
"3059985","LEVEL_ROLL_LIMIT","5","5","3.059985"
"3059985","USE_REV_THRUST","2","2","3.059985"
"3059985","ALT_OFFSET","0","0","3.059985"
"3059985","WP_RADIUS","90","90","3.059985"
"3059985","WP_MAX_RADIUS","0","0","3.059985"
"3059985","WP_LOITER_RAD","60","60","3.059985"
"3059985","RTL_RADIUS","0","0","3.059985"
"3059985","STALL_PREVENTION","1","1","3.059985"
"3059985","AIRSPEED_CRUISE","13","13","3.059985"
"3059985","AIRSPEED_MIN","8","8","3.059985"
"3059985","AIRSPEED_MAX","22","22","3.059985"
"3059985","AIRSPEED_STALL","0","0","3.059985"
"3059985","FBWB_ELEV_REV","0","0","3.059985"
"3059985","TERRAIN_FOLLOW","0","0","3.059985"
"3059985","TERRAIN_LOOKAHD","2000","2000","3.059985"
"3059985","FBWB_CLIMB_RATE","2","2","3.059985"
"3059985","THR_MIN","0","0","3.059985"
"3059985","THR_MAX","100","100","3.059985"
"3059985","TKOFF_THR_MAX","0","0","3.059985"
"3059985","THR_SLEWRATE","100","100","3.059985"
"3059985","FLAP_SLEWRATE","75","75","3.059985"
"3059985","THR_SUPP_MAN","0","0","3.059985"
"3059985","THR_PASS_STAB","0","0","3.059985"
"3059985","THR_FAILSAFE","1","1","3.059985"
"3059985","THR_FS_VALUE","950","950","3.059985"
"3059985","TRIM_THROTTLE","45","45","3.059985"
"3059985","THROTTLE_NUDGE","1","1","3.059985"
"3059985","FS_SHORT_ACTN","0","0","3.059985"
"3059985","FS_LONG_ACTN","0","0","3.059985"
"3059985","FS_LONG_TIMEOUT","5","5","3.059985"
"3059985","FS_GCS_ENABL","0","0","3.059985"
"3059985","FLTMODE_CH","8","8","3.059985"
"3059985","FLTMODE1","5","5","3.059985"
"3059985","FLTMODE2","11","11","3.059985"
"3059985","FLTMODE3","5","5","3.059985"
"3059985","FLTMODE4","5","5","3.059985"
"3059985","FLTMODE5","0","0","3.059985"
"3059985","FLTMODE6","0","0","3.059985"
"3059985","INITIAL_MODE","0","0","3.059985"
"3059985","ROLL_LIMIT_DEG","45","45","3.059985"
"3059985","PTCH_LIM_MAX_DEG","20","20","3.059985"
"3059985","PTCH_LIM_MIN_DEG","-25","-25","3.059985"
"3059985","ACRO_ROLL_RATE","180","180","3.059985"
"3059985","ACRO_PITCH_RATE","180","180","3.059985"
"3059985","ACRO_YAW_RATE","0","0","3.059985"
"3059985","ACRO_LOCKING","0","0","3.059985"
"3059985","GROUND_STEER_ALT","0","0","3.059985"
"3059985","GROUND_STEER_DPS","90","90","3.059985"
"3059985","MIXING_GAIN","0.5","0.5","3.059985"
"3059985","RUDDER_ONLY","0","0","3.059985"
"3059985","MIXING_OFFSET","0","0","3.059985"
"3059985","DSPOILR_RUD_RATE","100","100","3.059985"
"3059985","LOG_BITMASK","65535","65535","3.059985"
"3059985","SCALING_SPEED","13","13","3.059985"
"3059985","MIN_GROUNDSPEED","0","0","3.059985"
"3059985","PTCH_TRIM_DEG","0","0","3.059985"
"3059985","RTL_ALTITUDE","100","100","3.059985"
"3059985","CRUISE_ALT_FLOOR","0","0","3.059985"
"3059985","FLAP_1_PERCNT","0","0","3.059985"
"3059985","FLAP_1_SPEED","0","0","3.059985"
"3059985","FLAP_2_PERCNT","0","0","3.059985"
"3059985","FLAP_2_SPEED","0","0","3.059985"
"3059985","RTL_AUTOLAND","0","0","3.059985"
"3059985","CRASH_ACC_THRESH","0","0","3.059985"
"3059985","CRASH_DETECT","0","0","3.059985"
"3059985","BARO1_GND_PRESS","99896.55","0","3.059985"
"3059985","BARO_GND_TEMP","0","0","3.059985"
"3059985","BARO_ALT_OFFSET","0","0","3.059985"
"3059985","BARO_PRIMARY","0","0","3.059985"
"3059985","BARO_EXT_BUS","-1","-1","3.059985"
"3059985","BARO2_GND_PRESS","99896.83","0","3.059985"
"3059985","BARO3_GND_PRESS","0","0","3.059985"
"3059985","BARO_FLTR_RNG","0","0","3.059985"
"3059985","BARO_PROBE_EXT","0","0","3.059985"
"3059985","BARO1_DEVID","65540","0","3.059985"
"3059985","BARO2_DEVID","65796","0","3.059985"
"3059985","BARO3_DEVID","0","0","3.059985"
"3059985","BARO1_WCF_ENABLE","0","0","3.059985"
"3059985","BARO2_WCF_ENABLE","0","0","3.059985"
"3059985","BARO3_WCF_ENABLE","0","0","3.059985"
"3059985","BARO_FIELD_ELV","0","0","3.059985"
"3059985","BARO_ALTERR_MAX","2000","2000","3.059985"
"3059985","BARO_OPTIONS","0","0","3.059985"
"3059985","GPS_NAVFILTER","8","8","3.059985"
"3059985","GPS_AUTO_SWITCH","1","1","3.059985"
"3059985","GPS_SBAS_MODE","2","2","3.059985"
"3059985","GPS_MIN_ELEV","-100","-100","3.059985"
"3059985","GPS_INJECT_TO","127","127","3.059985"
"3059985","GPS_SBP_LOGMASK","-256","-256","3.059985"
"3059985","GPS_RAW_DATA","0","0","3.059985"
"3059985","GPS_SAVE_CFG","2","2","3.059985"
"3059985","GPS_AUTO_CONFIG","1","1","3.059985"
"3059985","GPS_BLEND_MASK","5","5","3.059985"
