"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"3059985","0","0","0","0","0","0","0","0","0","0","0","3.059985"
"3099985","0","0","0","0","0","0","0","0","0","0","0","3.099985"
"3139985","0","0","0","0","0","0","0","0","0","0","0","3.139985"
"3179985","0","0","0","0","0","0","0","0","0","0","0","3.179985"
"3219985","0","0","0","0","0","0","0","0","0","0","0","3.219985"
"3259985","0","0","0","0","0","0","0","0","0","0","0","3.259985"
"3299985","0","0","0","0","0","0","0","0","0","0","0","3.299985"
"3359984","8.55","-0.5889983","0.16669494","3.267965","0.23178774","-0.16009767","6.9554","-0","1","1.9921542","0","3.359984"
"3399984","8.475001","-0.3233133","0.1615326","3.1667602","0.45590454","-0.18601498","6.940936","-0","1","5.7405915","0","3.399984"
"3439984","8.0250025","0.04430661","0.15169984","2.9739945","0.6686261","-0.3438174","6.8009725","-0","1","9.312349","0","3.439984"
"3479984","7.175003","0.6323539","0.13342628","2.6157508","0.8592916","-0.61878765","6.4098954","-0","1","12.834939","0","3.479984"
"3519984","6.200004","1.5130938","0.1050086","2.0586374","1.0143871","-0.956004","5.8774924","-0","1","16.296986","0","3.519984"
"3559984","4.850004","2.6826658","0.06509814","1.2762141","1.1186032","-1.3429884","5.0689974","-0","1","19.690584","0","3.559984"
"3599984","3.4000046","4.0722685","0.017203167","0.3372589","1.1592973","-1.619729","4.1219006","-0","1","22.97236","0","3.599984"
"3639984","1.9500046","5.567615","-0.035415262","-0.69429725","1.1289275","-1.7872198","3.055507","-0","1","26.017855","0","3.639984"
"3679984","0.625005","7.0269327","-0.08977053","-1.7599033","1.0235081","-1.8302951","1.9536762","-0","1","28.800856","0","3.679984"
"3719984","-0.3999949","8.299218","-0.13731685","-2.6920235","0.85035026","-1.6386354","0.94739807","-0","1","31.228094","0","3.719984"
"3759984","-1.2749949","9.244223","-0.1772594","-3.4750757","0.620026","-1.4009086","0.06122265","-0","1","33.31805","0","3.759984"
"3799984","-1.8249946","9.748316","-0.20338081","-3.9871721","0.348278","-0.9356313","-0.64771366","-0","1","35.102993","0","3.799984"
"3859983","-2.1249945","9.539752","-0.21111211","-4.13874","0.058210082","-0.28022242","-1.1568561","-0","1","36.612423","0","3.859983"
"3899983","-1.8999949","8.750215","-0.20182304","-3.9566329","-0.22406028","0.28435543","-1.386611","-0","1","37.87331","0","3.899983"
"3939983","-1.4249948","7.4982343","-0.17639874","-3.4582028","-0.47642973","0.8226089","-1.3373919","0","1","38.910286","0","3.939983"
"3979983","-0.74999493","5.8800855","-0.13818794","-2.709101","-0.6805507","1.2735416","-1.0620242","0","1","39.745872","0","3.979983"
"4019983","-0.099994786","4.021986","-0.092648625","-1.8163267","-0.8238853","1.5314679","-0.6453908","0","1","40.371403","0","4.019983"
"4079981","1.0500053","1.0980066","-0.020935912","-0.41043735","-0.8707061","2.0783575","0.012413975","0","1","40.79972","0","4.079981"
"4139979","2.075005","-1.549805","0.047957495","0.940181","-0.8213032","2.0635645","0.7876379","0","1","41.052162","0","4.139979"
"4199978","2.5750053","-3.493631","0.09911684","1.9431325","-0.7054887","1.9102246","1.3853827","0","1","41.148148","0","4.199978"
"4239978","2.5250053","-4.2511783","0.12165577","2.3849962","-0.54439706","0.8968932","1.7484225","0","1","40.200478","0","4.239978"
"4279978","2.3750055","-4.5323734","0.1299211","2.5470335","-0.36750343","0.33984444","1.8735669","0","1","38.60854","0","4.279978"
"4319978","2.0000055","-4.3484187","0.124900766","2.4486127","-0.19302964","-0.12981214","1.8085139","-0","1","37.079643","0","4.319978"
"4359978","1.5250057","-3.7540119","0.10855923","2.1282456","-0.037326936","-0.5246154","1.5999142","-0","1","35.61129","0","4.359978"
"4399978","0.9250059","-2.8398345","0.083201304","1.6311171","0.086381555","-0.8395043","1.2572308","-0","1","34.201084","0","4.399978"
"4439978","0.27500585","-1.7207894","0.0518993","1.017458","0.16883495","-1.0515919","0.824678","-0","1","32.846725","0","4.439978"
"4479978","-0.29999426","-0.52245486","0.018332984","0.35940835","0.20558865","-1.1384839","0.36241296","-0","1","31.545996","0","4.479978"
"4519978","-0.7999943","0.63060445","-0.014057474","-0.27558926","0.19713245","-1.1080142","-0.0864032","-0","1","30.296776","0","4.519978"
