"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"3059985","0","0","0","0","0","0","0","0","0","0","0","3.059985"
"3099985","0","0","0","0","0","0","0","0","0","0","0","3.099985"
"3139985","0","0","0","0","0","0","0","0","0","0","0","3.139985"
"3179985","0","0","0","0","0","0","0","0","0","0","0","3.179985"
"3219985","0","0","0","0","0","0","0","0","0","0","0","3.219985"
"3259985","0","0","0","0","0","0","0","0","0","0","0","3.259985"
"3299985","0","0","0","0","0","0","0","0","0","0","0","3.299985"
"3359984","-0.019646365","0.0028125003","-0.0001491589","-0.00071830605","0","-0.0002500862","-0.001648227","-0","1","0.00013766496","9","3.359984"
"3399984","-0.019646365","0.0027667822","-0.00027111158","-0.0013055947","0","-0.00023506473","-0.0037144746","-0","1","0.0010529826","9","3.399984"
"3439984","-0.019646365","0.002867214","-0.00033769693","-0.0016262505","0","-0.00014662421","-0.004804207","-0","1","0.0018965395","9","3.439984"
"3479984","-0.019646365","0.0034776349","-0.0003876292","-0.0018667099","0","-0.000105718886","-0.0053822915","-0","1","0.0026739617","9","3.479984"
"3519984","-0.019646365","0.0039452952","-0.00041611752","-0.0020039012","0","-6.1974395E-05","-0.0057122204","-0","1","0.0033904337","9","3.519984"
"3559984","-0.019646365","0.0040116673","-0.00043082173","-0.0020747127","0","-3.5175155E-05","-0.005864535","-0","1","0.0040507345","9","3.559984"
"3599984","-0.019646365","0.0040327925","-0.0004389031","-0.00211363","0","-1.896595E-05","-0.0059914384","-0","1","0.0046592676","9","3.599984"
"3639984","-0.03929273","0.0038739727","-0.00054159825","-0.0026081803","0","-0.00025511425","-0.0077374675","-0","1","0.005220092","9","3.639984"
"3679984","-0.03929273","0.0039439313","-0.0006786701","-0.0032682784","0","-0.00026175665","-0.009890339","-0","1","0.005736947","9","3.679984"
"3719984","-0.03929273","0.0037964506","-0.0007468648","-0.0035966842","0","-0.00014942011","-0.011055131","-0","1","0.006185498","9","3.719984"
"3759984","-0.03929273","0.0033819808","-0.0007785782","-0.003749407","0","-7.5915166E-05","-0.011649643","-0","1","0.006563308","9","3.759984"
"3799984","-0.03929273","0.0033021541","-0.00079889095","-0.0038472272","0","-4.6357636E-05","-0.012006636","-0","1","0.006877333","9","3.799984"
"3859983","-0.03929273","0.0034009838","-0.0008123277","-0.003911935","0","-2.829338E-05","-0.012194911","-0","1","0.0071339263","9","3.859983"
"3899983","-0.03929273","0.003044888","-0.0008130208","-0.003915272","0","-2.784487E-06","-0.012293175","-0","1","0.00733889","9","3.899983"
"3939983","-0.03929273","0.0024598564","-0.00080555695","-0.0038793287","0","1.249203E-05","-0.012356507","-0","1","0.007529347","9","3.939983"
"3979983","-0.03929273","0.001861305","-0.0007951244","-0.0038290883","0","2.1156533E-05","-0.012400045","-0","1","0.0076833065","9","3.979983"
"4019983","-0.03929273","0.0016775926","-0.0007917233","-0.0038127098","0","6.8243608E-06","-0.0124024935","-0","1","0.0078067356","9","4.019983"
"4079981","-0.03929273","0.0020917093","-0.00079980656","-0.0038516365","0","-1.2869311E-05","-0.012403783","-0","1","0.007893678","9","4.079981"
"4139979","-0.03929273","0.002461803","-0.0008049811","-0.0038765557","0","-8.626323E-06","-0.012406147","0","1","0.007948057","9","4.139979"
"4199978","-0.03929273","0.003188097","-0.00081803056","-0.003939398","0","-2.9601973E-05","-0.012391101","0","1","0.007973444","9","4.199978"
"4239978","-0.03929273","0.003488762","-0.0008222606","-0.0039597685","0","-9.56043E-06","-0.01239398","0","1","0.007896231","9","4.239978"
"4279978","-0.03929273","0.0037390005","-0.0008257881","-0.0039767562","0","-8.784865E-06","-0.012373203","0","1","0.007608181","9","4.279978"
"4319978","-0.03929273","0.0039924746","-0.00082997617","-0.0039969245","0","-7.872281E-06","-0.0123622455","0","1","0.0073190928","9","4.319978"
"4359978","-0.03929273","0.00419148","-0.0008326813","-0.0040099514","0","-6.562921E-06","-0.012357062","0","1","0.007029257","9","4.359978"
"4399978","-0.03929273","0.00462501","-0.0008404616","-0.0040474194","0","-1.5724574E-05","-0.012348675","0","1","0.006750898","9","4.399978"
"4439978","-0.03929273","0.0049852603","-0.000847361","-0.004080645","0","-1.3030813E-05","-0.0123417955","-0","1","0.0064835628","9","4.439978"
