"TimeUS","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","ap_time_s"
"3059985","1500","1513","1450","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.059985"
"3099985","1500","1513","1450","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.099985"
"3139985","1500","1514","1449","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.139985"
"3179985","1500","1515","1448","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.179985"
"3219985","1500","1515","1446","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.219985"
"3259985","1500","1516","1444","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.259985"
"3299985","1500","1516","1441","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.299985"
"3359984","1500","1517","1437","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.359984"
"3399984","1500","1518","1435","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.399984"
"3439984","1500","1518","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.439984"
"3479984","1500","1519","1430","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.479984"
"3519984","1500","1519","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.519984"
"3559984","1500","1520","1426","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.559984"
"3599984","1500","1520","1425","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.599984"
"3639984","1500","1520","1424","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.639984"
"3679984","1500","1520","1423","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.679984"
"3719984","1500","1521","1423","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.719984"
"3759984","1500","1521","1423","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.759984"
"3799984","1500","1521","1423","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.799984"
"3859983","1500","1520","1424","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.859983"
"3899983","1500","1520","1425","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.899983"
"3939983","1500","1520","1426","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.939983"
"3979983","1500","1520","1427","1500","1100","1000","1900","1000","0","0","0","0","0","0","3.979983"
"4019983","1500","1519","1427","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.019983"
"4079981","1500","1519","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.079981"
"4139979","1500","1519","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.139979"
"4199978","1500","1519","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.199978"
"4239978","1500","1518","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.239978"
"4279978","1500","1518","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.279978"
"4319978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.319978"
"4359978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.359978"
"4399978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.399978"
"4439978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.439978"
"4479978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.479978"
"4519978","1500","1518","1428","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.519978"
"4559978","1500","1518","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.559978"
"4599978","1500","1518","1429","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.599978"
"4639978","1500","1518","1430","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.639978"
"4679978","1500","1518","1430","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.679978"
"4719978","1500","1517","1431","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.719978"
"4759978","1500","1517","1431","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.759978"
"4799978","1500","1517","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.799978"
"4839978","1500","1517","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.839978"
"4879978","1500","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.879978"
"4919978","1500","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.919978"
"4959978","1500","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.959978"
"4999978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","4.999978"
"5039978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.039978"
"5079978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.079978"
"5119978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.119978"
"5159978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.159978"
"5199978","1625","1516","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.199978"
"5239978","1625","1516","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.239978"
"5279978","1625","1516","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.279978"
"5319978","1625","1516","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.319978"
"5359978","1625","1515","1432","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.359978"
"5399978","1625","1515","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.399978"
"5439978","1625","1515","1433","1500","1100","1000","1900","1000","0","0","0","0","0","0","5.439978"
