"TimeUS","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","ap_time_s"
"3059985","1500","1500","980","1500","1500","0","0","0","0","0","0","0","0","0","3.059985"
"3099985","1500","1513","1382","1500","1500","0","0","0","0","0","0","0","0","0","3.099985"
"3139985","1500","1514","1382","1500","1500","0","0","0","0","0","0","0","0","0","3.139985"
"3179985","1500","1514","1381","1500","1500","0","0","0","0","0","0","0","0","0","3.179985"
"3219985","1500","1515","1379","1500","1500","0","0","0","0","0","0","0","0","0","3.219985"
"3259985","1500","1515","1376","1500","1500","0","0","0","0","0","0","0","0","0","3.259985"
"3299985","1500","1516","1373","1500","1500","0","0","0","0","0","0","0","0","0","3.299985"
"3359984","1500","1591","1371","1500","1500","0","0","0","0","0","0","0","0","0","3.359984"
"3399984","1500","1592","1366","1500","1500","0","0","0","0","0","0","0","0","0","3.399984"
"3439984","1500","1589","1362","1500","1500","0","0","0","0","0","0","0","0","0","3.439984"
"3479984","1500","1582","1360","1500","1500","0","0","0","0","0","0","0","0","0","3.479984"
"3519984","1500","1571","1358","1500","1500","0","0","0","0","0","0","0","0","0","3.519984"
"3559984","1500","1554","1356","1500","1500","0","0","0","0","0","0","0","0","0","3.559984"
"3599984","1500","1535","1354","1500","1500","0","0","0","0","0","0","0","0","0","3.599984"
"3639984","1500","1515","1352","1500","1500","0","0","0","0","0","0","0","0","0","3.639984"
"3679984","1500","1495","1351","1500","1500","0","0","0","0","0","0","0","0","0","3.679984"
"3719984","1500","1478","1351","1500","1500","0","0","0","0","0","0","0","0","0","3.719984"
"3759984","1500","1463","1351","1500","1500","0","0","0","0","0","0","0","0","0","3.759984"
"3799984","1500","1454","1351","1500","1500","0","0","0","0","0","0","0","0","0","3.799984"
"3859983","1500","1451","1351","1500","1500","0","0","0","0","0","0","0","0","0","3.859983"
"3899983","1500","1454","1352","1500","1500","0","0","0","0","0","0","0","0","0","3.899983"
"3939983","1500","1461","1353","1500","1500","0","0","0","0","0","0","0","0","0","3.939983"
"3979983","1500","1472","1354","1500","1500","0","0","0","0","0","0","0","0","0","3.979983"
"4019983","1500","1485","1356","1500","1500","0","0","0","0","0","0","0","0","0","4.019983"
"4079981","1500","1507","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.079981"
"4139979","1500","1526","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.139979"
"4199978","1500","1540","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.199978"
"4239978","1500","1539","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.239978"
"4279978","1500","1539","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.279978"
"4319978","1500","1534","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.319978"
"4359978","1500","1528","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.359978"
"4399978","1500","1518","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.399978"
"4439978","1500","1508","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.439978"
"4479978","1500","1499","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.479978"
"4519978","1500","1489","1357","1500","1500","0","0","0","0","0","0","0","0","0","4.519978"
"4559978","1500","1482","1358","1500","1500","0","0","0","0","0","0","0","0","0","4.559978"
