mavpackettype,TimeUS,Tar,Act,Err,P,I,D,FF,DFF,Dmod,SRate,Flags,ap_time_s
PIDY,2199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.199998
PIDY,2239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.239998
PIDY,2279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.279998
PIDY,2319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.319998
PIDY,2359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.359998
PIDY,2399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.399998
PIDY,2439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.439998
PIDY,2479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.479998
PIDY,2519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.519998
PIDY,2559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.559998
PIDY,2599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.599998
PIDY,2639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.639998
PIDY,2679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.679998
PIDY,2719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.719998
PIDY,2759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.759998
PIDY,2799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.799998
PIDY,2839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.839998
PIDY,2879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.879998
PIDY,2919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.919998
PIDY,2959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.959998
PIDY,2999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.999998
PIDY,3039998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.039998
PIDY,3079998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.079998
PIDY,3119998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.119998
PIDY,3159998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.159998
PIDY,3199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.199998
PIDY,3239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.239998
PIDY,3279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.279998
PIDY,3319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.319998
PIDY,3359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.359998
PIDY,3399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.399998
PIDY,3439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.439998
PIDY,3479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.479998
PIDY,3519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.519998
PIDY,3559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.559998
PIDY,3599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.599998
PIDY,3639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.639998
PIDY,3679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.679998
PIDY,3719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.719998
PIDY,3759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.759998
PIDY,3799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.799998
PIDY,3839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.839998
PIDY,3879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.879998
PIDY,3919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.919998
PIDY,3959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.959998
PIDY,4019996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.019996
PIDY,4079993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.079993
PIDY,4139990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.13999
PIDY,4199988,0.0,0.0,0.0,0.0,0.0007573822513222694,0.19415073096752167,0.0,0.0,0.0,0.0,0,4.199988
PIDY,4239988,0.0,0.0,0.0,0.0,0.0015076808631420135,0.19135242700576782,0.0,0.0,0.0,0.0,0,4.239988
PIDY,4279988,0.0,0.0,0.0,0.0,0.002238617977127433,0.18685367703437805,0.0,0.0,0.0,0.0,0,4.279988
PIDY,4319988,0.0,0.0,0.0,0.0,0.0029683082830160856,0.18353210389614105,0.0,0.0,0.0,0.0,0,4.319988
PIDY,4359988,0.0,0.0,0.0,0.0,0.003677257802337408,0.17898768186569214,0.0,0.0,0.0,0.0,0,4.359988
PIDY,4399988,0.0,0.0,0.0,0.0,0.004394246265292168,0.17550557851791382,0.0,0.0,0.0,0.0,0,4.399988
PIDY,4439988,0.0,0.0,0.0,0.0,0.005109074991196394,0.1728818714618683,0.0,0.0,0.0,0.0,0,4.439988
PIDY,4479988,0.0,0.0,0.0,0.0,0.005801405292004347,0.1704029142856598,0.0,0.0,0.0,0.0,0,4.479988
PIDY,4519988,0.0,0.0,0.0,0.0,0.0065120733343064785,0.16863584518432617,0.0,0.0,0.0,0.0,0,4.519988
PIDY,4559988,0.0,0.0,0.0,0.0,0.00719562079757452,0.16573134064674377,0.0,0.0,0.0,0.0,0,4.559988
PIDY,4599988,0.0,0.0,0.0,0.0,0.007895031943917274,0.16432227194309235,0.0,0.0,0.0,0.0,0,4.599988
PIDY,4639988,0.0,0.0,0.0,0.0,0.008590499870479107,0.1626182645559311,0.0,0.0,0.0,0.0,0,4.639988
PIDY,4679988,0.0,0.0,0.0,0.0,0.009261556901037693,0.15773655474185944,0.0,0.0,0.0,0.0,0,4.679988
PIDY,4719988,0.0,0.0,0.0,0.0,0.009937668219208717,0.1532142609357834,0.0,0.0,0.0,0.0,0,4.719988
PIDY,4759988,0.0,0.0,0.0,0.0,0.01060563512146473,0.14874717593193054,0.0,0.0,0.0,0.0,0,4.759988
PIDY,4799988,0.0,0.0,0.0,0.0,0.01126115396618843,0.14430569112300873,0.0,0.0,0.0,0.0,0,4.799988
PIDY,4839988,0.0,0.0,0.0,0.0,0.01190546341240406,0.13963867723941803,0.0,0.0,0.0,0.0,0,4.839988
PIDY,4879988,0.0,0.0,0.0,0.0,0.012559746392071247,0.13696010410785675,0.0,0.0,0.0,0.0,0,4.879988
PIDY,4919988,0.0,0.0,0.0,0.0,0.013189886696636677,0.13502879440784454,0.0,0.0,0.0,0.0,0,4.919988
PIDY,4959988,0.0,0.0,0.0,0.0,0.013851570896804333,0.13326387107372284,0.0,0.0,0.0,0.0,0,4.959988
PIDY,4999988,0.0,0.0,0.0,0.0,0.014469175599515438,0.13065704703330994,0.0,0.0,0.0,0.0,0,4.999988
PIDY,5039988,0.0,0.0,0.0,0.0,0.015078922733664513,0.12856359779834747,0.0,0.0,0.0,0.0,0,5.039988
PIDY,5079988,0.0,0.0,0.0,0.0,0.01573900133371353,0.1274079829454422,0.0,0.0,0.0,0.0,0,5.079988
PIDY,5119988,0.0,0.0,0.0,0.0,0.01633770577609539,0.1226380243897438,0.0,0.0,0.0,0.0,0,5.119988
PIDY,5159988,0.0,0.0,0.0,0.0,0.01699705794453621,0.11946387588977814,0.0,0.0,0.0,0.0,0,5.159988
PIDY,5199988,0.0,0.0,0.0,0.0,0.017581235617399216,0.11513514071702957,0.0,0.0,0.0,0.0,0,5.199988
PIDY,5239988,0.0,0.0,0.0,0.0,0.018155492842197418,0.11100351065397263,0.0,0.0,0.0,0.0,0,5.239988
PIDY,5279988,0.0,0.0,0.0,0.0,0.018799347802996635,0.10890460014343262,0.0,0.0,0.0,0.0,0,5.279988
PIDY,5319988,0.0,0.0,0.0,0.0,0.01935940608382225,0.10610395669937134,0.0,0.0,0.0,0.0,0,5.319988
PIDY,5359988,0.0,0.0,0.0,0.0,0.019991779699921608,0.10441585630178452,0.0,0.0,0.0,0.0,0,5.359988
PIDY,5399988,0.0,0.0,0.0,0.0,0.020541399717330933,0.10158275067806244,0.0,0.0,0.0,0.0,0,5.399988
PIDY,5439988,0.0,0.0,0.0,0.0,0.021084235981106758,0.09850674122571945,0.0,0.0,0.0,0.0,0,5.439988
PIDY,5479988,0.0,0.0,0.0,0.0,0.02171039953827858,0.09544581919908524,0.0,0.0,0.0,0.0,0,5.479988
PIDY,5519988,0.0,0.0,0.0,0.0,0.02224637195467949,0.09184931218624115,0.0,0.0,0.0,0.0,0,5.519988
PIDY,5559988,0.0,0.0,0.0,0.0,0.02288130298256874,0.0899193212389946,0.0,0.0,0.0,0.0,0,5.559988
