mavpackettype,TimeUS,NavRoll,Roll,NavPitch,Pitch,ThO,RdO,ThD,As,AsT,E2T,GU,ap_time_s
CTUN,2199998,4.77,4.77,-6.41,-6.41,45.29999923706055,0.0,0.0,0.0,2,0.9999942183494568,0,2.199998
CTUN,2239998,4.86,4.86,-6.53,-6.53,45.29999923706055,0.0,0.0,0.0,2,0.9999942183494568,0,2.239998
CTUN,2279998,4.9,4.9,-6.58,-6.58,45.099998474121094,0.0,0.0,12.524845123291016,1,0.9999903440475464,0,2.279998
CTUN,2319998,4.97,4.97,-6.68,-6.68,44.900001525878906,0.0,0.0,12.524845123291016,1,0.9999903440475464,0,2.319998
CTUN,2359998,5.04,5.04,-6.78,-6.78,44.70000076293945,0.0,0.0,12.524845123291016,1,0.9999903440475464,0,2.359998
CTUN,2399998,5.11,5.11,-6.88,-6.88,44.5,0.0,0.0,12.537099838256836,1,0.9999971389770508,0,2.399998
CTUN,2439998,5.18,5.18,-6.98,-6.98,44.29999923706055,0.0,0.0,12.537099838256836,1,0.9999971389770508,0,2.439998
CTUN,2479998,5.29,5.29,-7.57,-7.57,44.099998474121094,0.0,0.0,12.559369087219238,1,0.9999930262565613,0,2.479998
CTUN,2519998,5.39,5.39,-8.16,-8.16,43.900001525878906,0.0,0.0,12.559369087219238,1,0.9999930262565613,0,2.519998
CTUN,2559998,5.5,5.5,-8.75,-8.75,43.70000076293945,0.0,0.0,12.559369087219238,1,0.9999930262565613,0,2.559998
CTUN,2599998,5.61,5.61,-9.33,-9.33,43.5,0.0,0.0,12.5845308303833,1,0.9999940395355225,0,2.599998
CTUN,2639998,5.71,5.71,-9.92,-9.92,43.29999923706055,0.0,0.0,12.5845308303833,1,0.9999940395355225,0,2.639998
CTUN,2679998,5.81,5.81,-10.23,-10.23,43.099998474121094,0.0,0.0,12.617630958557129,1,0.9999849796295166,0,2.679998
CTUN,2719998,5.89,5.89,-10.27,-10.27,42.900001525878906,0.0,0.0,12.617630958557129,1,0.9999849796295166,0,2.719998
CTUN,2759998,5.98,5.98,-10.31,-10.31,42.70000076293945,0.0,0.0,12.617630958557129,1,0.9999849796295166,0,2.759998
CTUN,2799998,6.06,6.06,-10.35,-10.35,42.5,0.0,0.0,12.653241157531738,1,0.999983012676239,0,2.799998
CTUN,2839998,6.15,6.15,-10.39,-10.39,42.29999923706055,0.0,0.0,12.653241157531738,1,0.999983012676239,0,2.839998
CTUN,2879998,6.23,6.23,-10.42,-10.42,42.20000076293945,0.0,0.0,12.68925952911377,1,0.9999786019325256,0,2.879998
CTUN,2919998,6.31,6.31,-10.48,-10.48,42.0,0.0,0.0,12.68925952911377,1,0.9999786019325256,0,2.919998
CTUN,2959998,6.38,6.38,-10.54,-10.54,41.79999923706055,0.0,0.0,12.68925952911377,1,0.9999786019325256,0,2.959998
CTUN,2999998,6.46,6.46,-10.59,-10.59,41.599998474121094,0.0,0.0,12.725248336791992,1,0.99998539686203,0,2.999998
CTUN,3039998,6.53,6.53,-10.65,-10.65,41.400001525878906,0.0,0.0,12.725248336791992,1,0.99998539686203,0,3.039998
CTUN,3079998,6.61,6.61,-10.7,-10.7,41.20000076293945,0.0,0.0,12.762550354003906,1,0.9999752640724182,0,3.079998
CTUN,3119998,6.69,6.69,-10.74,-10.74,41.099998474121094,0.0,0.0,12.762550354003906,1,0.9999752640724182,0,3.119998
CTUN,3159998,6.76,6.76,-10.77,-10.77,40.900001525878906,0.0,0.0,12.762550354003906,1,0.9999752640724182,0,3.159998
CTUN,3199998,6.83,6.83,-10.8,-10.8,40.70000076293945,0.0,0.0,12.799887657165527,1,0.9999752640724182,0,3.199998
CTUN,3239998,6.9,6.9,-10.82,-10.82,40.599998474121094,0.0,0.0,12.799887657165527,1,0.9999752640724182,0,3.239998
CTUN,3279998,6.98,6.98,-10.85,-10.85,40.400001525878906,0.0,0.0,12.833856582641602,1,0.9999808669090271,0,3.279998
CTUN,3319998,7.05,7.05,-10.87,-10.87,40.20000076293945,0.0,0.0,12.833856582641602,1,0.9999808669090271,0,3.319998
CTUN,3359998,7.12,7.12,-10.89,-10.89,40.099998474121094,0.0,0.0,12.833856582641602,1,0.9999808669090271,0,3.359998
CTUN,3399998,7.19,7.19,-10.91,-10.91,39.900001525878906,0.0,0.0,12.869600296020508,1,0.9999725222587585,0,3.399998
CTUN,3439998,7.25,7.25,-10.93,-10.93,39.79999923706055,0.0,0.0,12.869600296020508,1,0.9999725222587585,0,3.439998
CTUN,3479998,7.32,7.32,-10.95,-10.95,39.599998474121094,0.0,0.0,12.90099048614502,1,0.9999712705612183,0,3.479998
CTUN,3519998,7.39,7.39,-10.96,-10.96,39.5,0.0,0.0,12.90099048614502,1,0.9999712705612183,0,3.519998
CTUN,3559998,7.46,7.46,-10.98,-10.98,39.29999923706055,0.0,0.0,12.90099048614502,1,0.9999712705612183,0,3.559998
CTUN,3599998,7.52,7.52,-10.99,-10.99,39.20000076293945,0.0,0.0,12.932880401611328,1,0.9999751448631287,0,3.599998
CTUN,3639998,7.59,7.59,-11.0,-11.0,39.0,0.0,0.0,12.932880401611328,1,0.9999751448631287,0,3.639998
CTUN,3679998,7.65,7.65,-11.01,-11.01,38.900001525878906,0.0,0.0,12.966829299926758,1,0.9999714493751526,0,3.679998
CTUN,3719998,7.72,7.72,-11.02,-11.02,38.79999923706055,0.0,0.0,12.966829299926758,1,0.9999714493751526,0,3.719998
CTUN,3759998,7.78,7.78,-11.03,-11.03,38.599998474121094,0.0,0.0,12.966829299926758,1,0.9999714493751526,0,3.759998
CTUN,3799998,7.85,7.85,-11.03,-11.03,38.5,0.0,0.0,12.996058464050293,1,0.9999658465385437,0,3.799998
CTUN,3839998,7.91,7.91,-11.04,-11.04,38.400001525878906,0.0,0.0,12.996058464050293,1,0.9999658465385437,0,3.839998
CTUN,3879998,7.97,7.97,-11.04,-11.04,38.29999923706055,0.0,0.0,13.022843360900879,1,0.9999703168869019,0,3.879998
CTUN,3919998,8.04,8.04,-11.04,-11.04,38.20000076293945,0.0,0.0,13.022843360900879,1,0.9999703168869019,0,3.919998
CTUN,3959998,8.1,8.1,-11.04,-11.04,38.099998474121094,0.0,0.0,13.022843360900879,1,0.9999703168869019,0,3.959998
