sim_time_s,json_timestamp_s,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,position_n_m,position_e_m,position_d_m,roll_rad,pitch_rad,yaw_rad,velocity_n_m_s,velocity_e_m_s,velocity_d_m_s,wind_n_m_s,wind_e_m_s,wind_d_m_s,airspeed_m_s,no_time_sync,no_lockstep
0,0.02,0,0,0,0.0672955656,-0,-9.8064191,0,0,0,0,0.00686229179,0,13,0,0,0,0,0,13,0,0
0.02,0.04,0,9.59118457e-05,0,0.0673182693,0,-9.83404004,0.259999976,0,-5.4791556e-06,0,0.00686278119,0,12.9999966,0,-0.000533834062,0,0,0,12.9999966,0,0
0.04,0.06,0,0.000463625485,0,-0.221822713,0,-9.82788957,0.519942043,0,-1.98982737e-05,0,0.00686808033,0,12.9942103,0,-0.000871919833,0,0,0,12.9942103,0,0
0.06,0.08,0,0.000954577207,0,-0.221648523,0,-9.81888146,0.7797684,0,-3.90648037e-05,0,0.00688216866,0,12.9884259,0,-0.00101648769,0,0,0,12.9884259,0,0
0.08,0.1,0,0.0014712154,0,-0.22128771,0,-9.81147461,1.0394791,0,-5.95578354e-05,0,0.00690644621,0,12.982645,0,-0.00101105574,0,0,0,12.9826451,0,0
0.1,0.12,0,0.00195951733,0,-0.22076649,0,-9.80551952,1.29907423,0,-7.87432008e-05,0,0.00694083471,0,12.9768686,0,-0.00089096218,0,0,0,12.9768687,0,0
0.12,0.14,0,0.00239077836,0,-0.220112093,0,-9.80081345,1.55855388,0,-9.46211543e-05,0,0.00698445009,0,12.9710974,0,-0.000684473806,0,0,0,12.9710974,0,0
0.14,0.16,0,0.00275113104,0,-0.219350556,0,-9.7971397,1.81791816,0,-0.000105694822,0,0.00703599499,0,12.9653319,0,-0.000413758456,0,0,0,12.9653319,0,0
0.16,0.18,0,0.00303545781,0,-0.218505641,0,-9.79428859,2.0771672,0,-0.000110857041,0,0.00709398949,0,12.9595722,0,-9.57533827e-05,0,0,0,12.9595722,0,0
0.18,0.2,0,0.00324381189,0,-0.217598382,0,-9.79206806,2.33630109,0,-0.000109293678,0,0.00715690736,0,12.9538187,0,0.000257053764,0,0,0,12.9538187,0,0
0.2,0.22,0,0.00337927963,0,-0.216646977,0,-9.79030837,2.59531999,0,-0.000100401786,0,0.00722325636,0,12.9480715,0,0.000635922312,0,0,0,12.9480715,0,0
