mavpackettype,TimeUS,NavRoll,Roll,NavPitch,Pitch,ThO,RdO,ThD,As,AsT,E2T,GU,ap_time_s
CTUN,2239998,4.83,4.83,-6.5,-6.5,45.29999923706055,0.0,0.0,0.0,2,0.9999824166297913,0,2.239998
CTUN,2279998,4.87,4.87,-6.55,-6.55,45.400001525878906,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.279998
CTUN,2319998,4.94,4.94,-6.65,-6.65,45.20000076293945,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.319998
CTUN,2359998,5.01,5.01,-6.75,-6.75,44.900001525878906,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.359998
CTUN,2399998,5.08,5.08,-6.85,-6.85,44.70000076293945,0.0,0.0,12.516435623168945,1,0.9999958276748657,0,2.399998
CTUN,2439998,5.15,5.15,-6.95,-6.95,44.5,0.0,0.0,12.516435623168945,1,0.9999958276748657,0,2.439998
CTUN,2479998,5.25,5.25,-7.55,-7.55,44.29999923706055,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.479998
CTUN,2519998,5.36,5.36,-8.14,-8.14,44.099998474121094,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.519998
CTUN,2559998,5.46,5.46,-8.73,-8.73,43.900001525878906,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.559998
CTUN,2599998,5.57,5.57,-9.32,-9.32,43.70000076293945,0.0,0.0,12.566024780273438,1,0.9999852180480957,0,2.599998
CTUN,2639998,5.67,5.67,-9.9,-9.9,43.5,0.0,0.0,12.566024780273438,1,0.9999852180480957,0,2.639998
CTUN,2679998,5.77,5.77,-10.22,-10.22,43.29999923706055,0.0,0.0,12.599069595336914,1,0.99998539686203,0,2.679998
CTUN,2719998,5.85,5.85,-10.27,-10.27,43.099998474121094,0.0,0.0,12.599069595336914,1,0.99998539686203,0,2.719998
CTUN,2759998,5.94,5.94,-10.32,-10.32,42.900001525878906,0.0,0.0,12.599069595336914,1,0.99998539686203,0,2.759998
CTUN,2799998,6.03,6.03,-10.36,-10.36,42.70000076293945,0.0,0.0,12.632906913757324,1,0.9999892115592957,0,2.799998
CTUN,2839998,6.11,6.11,-10.4,-10.4,42.5,0.0,0.0,12.632906913757324,1,0.9999892115592957,0,2.839998
CTUN,2879998,6.2,6.2,-10.45,-10.45,42.29999923706055,0.0,0.0,12.66983413696289,1,0.9999833703041077,0,2.879998
CTUN,2919998,6.28,6.28,-10.51,-10.51,42.099998474121094,0.0,0.0,12.66983413696289,1,0.9999833703041077,0,2.919998
CTUN,2959998,6.35,6.35,-10.56,-10.56,41.900001525878906,0.0,0.0,12.66983413696289,1,0.9999833703041077,0,2.959998
CTUN,2999998,6.43,6.43,-10.62,-10.62,41.70000076293945,0.0,0.0,12.706422805786133,1,0.9999876022338867,0,2.999998
CTUN,3039998,6.5,6.5,-10.68,-10.68,41.5,0.0,0.0,12.706422805786133,1,0.9999876022338867,0,3.039998
CTUN,3079998,6.58,6.58,-10.73,-10.73,41.400001525878906,0.0,0.0,12.746889114379883,1,0.9999884963035583,0,3.079998
CTUN,3119998,6.65,6.65,-10.77,-10.77,41.20000076293945,0.0,0.0,12.746889114379883,1,0.9999884963035583,0,3.119998
CTUN,3159998,6.73,6.73,-10.8,-10.8,41.0,0.0,0.0,12.746889114379883,1,0.9999884963035583,0,3.159998
CTUN,3199998,6.8,6.8,-10.83,-10.83,40.79999923706055,0.0,0.0,12.784205436706543,1,0.9999773502349854,0,3.199998
CTUN,3239998,6.87,6.87,-10.86,-10.86,40.70000076293945,0.0,0.0,12.784205436706543,1,0.9999773502349854,0,3.239998
