mavpackettype,TimeUS,ID,Seq,Message,ap_time_s
MSG,2219998,11,0,ArduPlane V4.7.0 (1511f271),2.219998
MSG,2219998,12,0,DESKTOP-GK6LBQ8,2.219998
MSG,2219998,13,0,Param space used: 139/3840,2.219998
MSG,2219998,14,0,RC Protocol: FDM,2.219998
MSG,2219998,15,0,New mission,2.219998
MSG,2219998,16,0,New rally,2.219998
MSG,2219998,17,0,New fence,2.219998
MSG,5419988,18,0,Started autotune,5.419988
MSG,5419988,19,0,Autotuning roll ,5.419988
MSG,9519988,20,0,GPS 1: probing for u-blox at 230400 baud,9.519988
MSG,9539988,21,0,GPS 1: detected u-blox,9.539988
MSG,9559988,22,0,Autoland direction= 303,9.559988
MSG,10739988,23,0,EKF3 IMU0 initialised,10.739988
MSG,10739988,24,0,EKF3 IMU1 initialised,10.739988
MSG,12579988,25,0,EKF3 IMU0 tilt alignment complete,12.579988
MSG,12579988,26,0,EKF3 IMU1 tilt alignment complete,12.579988
MSG,13039988,27,0,Stopped autotune,13.039988
