Level,RollTarget_deg_s,p_op_max_deg_s,RollRatio,PitchTarget_deg_s,q_up_deg_s,q_down_deg_s,PitchUpRatio,PitchDownRatio,GoverningRatio,Classification,RuleSource
1,20,54.6769442809492,0.365784889097551,20,53.9478910637467,53.7259008614431,0.370728115699042,0.37225992825284,0.37225992825284,COMFORTABLE,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
2,30,54.6769442809492,0.548677333646327,30,53.9478910637467,53.7259008614431,0.556092173548563,0.55838989237926,0.55838989237926,COMFORTABLE,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
3,40,54.6769442809492,0.731569778195103,40,53.9478910637467,53.7259008614431,0.741456231398084,0.74451985650568,0.74451985650568,MATCHED,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
4,50,54.6769442809492,0.914462222743878,50,53.9478910637467,53.7259008614431,0.926820289247605,0.9306498206321,0.9306498206321,BOUNDARY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
5,60,54.6769442809492,1.09735466729265,60,53.9478910637467,53.7259008614431,1.11218434709713,1.11677978475852,1.11677978475852,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
6,75,54.6769442809492,1.37169333411582,75,53.9478910637467,53.7259008614431,1.39023043387141,1.39597473094815,1.39597473094815,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
7,90,54.6769442809492,1.64603200093898,90,53.9478910637467,53.7259008614431,1.66827652064569,1.67516967713778,1.67516967713778,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
8,120,54.6769442809492,2.19470933458531,120,53.9478910637467,53.7259008614431,2.22436869419425,2.23355956951704,2.23355956951704,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
9,160,54.6769442809492,2.92627911278041,160,53.9478910637467,53.7259008614431,2.96582492559234,2.97807942602272,2.97807942602272,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
10,210,54.6769442809492,3.84074133552429,210,53.9478910637467,53.7259008614431,3.89264521483994,3.90872924665482,3.90872924665482,BEYOND_OPERATIONAL_CAPABILITY,V5.4.1_PROJECT_SCREENING_RULE_NOT_ARDUPILOT
