Name,Requested,MetadataFound,RangeDeclared,Minimum,Maximum,InFirmwareRange,EnumDeclared,AllowedValue,Increment,IncrementAligned,Units,Pass,Detail,NativeMetadataWarning,ReplayAllowed
SCALING_SPEED,13,1,1,0,50,1,0,1,0.1,1,m/s,1,LEGAL,0,1
AIRSPEED_MIN,8,1,1,5,100,1,0,1,1,1,m/s,1,LEGAL,0,1
AIRSPEED_CRUISE,13,1,0,NaN,NaN,1,0,1,NaN,1,m/s,1,METADATA_FOUND_NO_NUMERIC_CONSTRAINT,0,1
AUTOTUNE_LEVEL,2,1,1,0,10,1,0,1,1,1,,1,LEGAL,0,1
AUTOTUNE_OPTIONS,0,1,0,NaN,NaN,1,0,1,NaN,1,,1,METADATA_FOUND_NO_NUMERIC_CONSTRAINT,0,1
AUTOTUNE_AXES,3,1,0,NaN,NaN,1,0,1,NaN,1,,1,METADATA_FOUND_NO_NUMERIC_CONSTRAINT,0,1
RLL_RATE_P,0.978386878967285,1,1,0.08,0.35,0,0,1,0.005,0,,0,OUTSIDE_FIRMWARE_RANGE,1,1
RLL_RATE_I,0.70196259021759,1,1,0.01,0.6,0,0,1,0.01,0,,0,OUTSIDE_FIRMWARE_RANGE,1,1
RLL_RATE_D,0.0362957529723644,1,1,0.001,0.03,0,0,1,0.001,0,,0,OUTSIDE_FIRMWARE_RANGE,1,1
RLL_RATE_FF,0.70196259021759,1,1,0,3,1,0,1,0.001,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
RLL_RATE_IMAX,0.666000008583069,1,1,0,1,1,0,1,0.01,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
RLL_RATE_FLTT,1.76838827133179,1,1,2,50,0,0,1,1,0,Hz,0,OUTSIDE_FIRMWARE_RANGE,1,1
RLL_RATE_FLTE,0,1,1,2,50,0,0,1,1,1,Hz,1,LEGAL_COMPILED_DISABLE_VALUE,0,1
RLL_RATE_FLTD,10,1,1,0,50,1,0,1,1,1,Hz,1,LEGAL,0,1
RLL_RATE_SMAX,150,1,1,0,200,1,0,1,0.5,1,,1,LEGAL,0,1
RLL2SRV_TCONST,0.899999976158142,1,1,0.4,1,1,0,1,0.1,1,s,1,LEGAL,0,1
RLL2SRV_RMAX,30,1,1,0,180,1,0,1,1,1,deg/s,1,LEGAL,0,1
PTCH_RATE_P,0.3421625,1,1,0.08,0.35,1,0,1,0.005,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
PTCH_RATE_I,0.59975,1,1,0.01,0.6,1,0,1,0.01,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
PTCH_RATE_D,0.0240025,1,1,0.001,0.03,1,0,1,0.001,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
PTCH_RATE_FF,0.795,1,1,0,3,1,0,1,0.001,1,,1,LEGAL,0,1
PTCH_RATE_IMAX,0.666,1,1,0,1,1,0,1,0.01,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
PTCH_RATE_FLTT,3,1,1,2,50,1,0,1,1,1,Hz,1,LEGAL,0,1
PTCH_RATE_FLTE,0,1,1,2,50,0,0,1,1,1,Hz,1,LEGAL_COMPILED_DISABLE_VALUE,0,1
PTCH_RATE_FLTD,12,1,1,0,50,1,0,1,1,1,Hz,1,LEGAL,0,1
PTCH_RATE_SMAX,150,1,1,0,200,1,0,1,0.5,1,,1,LEGAL,0,1
PTCH2SRV_TCONST,0.4,1,1,0.4,1,1,0,1,0.1,1,s,1,LEGAL,0,1
PTCH2SRV_RMAX_UP,0,1,1,0,100,1,0,1,1,1,deg/s,1,LEGAL,0,1
PTCH2SRV_RMAX_DN,0,1,1,0,100,1,0,1,1,1,deg/s,1,LEGAL,0,1
KFF_RDDRMIX,0.0867,1,1,0,1,1,0,1,0.01,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
YAW2SRV_DAMP,1.97,1,1,0,2,1,0,1,0.25,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
YAW2SRV_INT,0.0531,1,1,0,2,1,0,1,0.25,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
YAW2SRV_RLL,0.9197,1,1,0.8,1.2,1,0,1,0.05,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
YAW2SRV_SLIP,4,1,1,0,4,1,0,1,0.25,1,,1,LEGAL,0,1
YAW2SRV_IMAX,1500,1,1,0,4500,1,0,1,1,1,,1,LEGAL,0,1
YAW_RATE_ENABLE,0,1,0,NaN,NaN,1,1,1,NaN,1,,1,LEGAL,0,1
TECS_TIME_CONST,9.895,1,1,3,10,1,0,1,0.2,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_THR_DAMP,0.7905,1,1,0.1,1,1,0,1,0.1,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_INTEG_GAIN,0.2425,1,1,0,0.5,1,0,1,0.02,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_PTCH_DAMP,0.9518,1,1,0.1,1,1,0,1,0.1,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_SPDWEIGHT,1.4509,1,1,0,2,1,0,1,0.1,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_RLL2THR,27.4595,1,1,5,30,1,0,1,1,0,,1,LEGAL_VALUE_NON_UI_INCREMENT,0,1
TECS_CLMB_MAX,3,1,1,0.1,20,1,0,1,0.1,1,,1,LEGAL,0,1
TECS_SINK_MAX,3,1,1,0,20,1,0,1,0.1,1,,1,LEGAL,0,1
TECS_SINK_MIN,2,1,1,0.1,10,1,0,1,0.1,1,,1,LEGAL,0,1
TECS_PITCH_MAX,15,1,1,0,45,1,0,1,1,1,,1,LEGAL,0,1
TECS_PITCH_MIN,0,1,1,-45,0,1,0,1,1,1,,1,LEGAL,0,1
TECS_VERT_ACC,7,1,1,1,10,1,0,1,0.5,1,,1,LEGAL,0,1
