time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,0,0,15,10.2,0,0,0,10,4.8,0,0,0,10,0,1410,1410,1007,1410
0.005,0,0,14.9946438834687,10.2067985725594,-2.13317017858511,0,0,9.99132915496885,4.78784531090928,0,0,0,10,0,1410,1410,1007,1410
0.01,0,0,14.9787605350855,10.2118778866248,-4.2110006084681,0,0,9.98265777531504,4.7668826484607,0,0,0,10,0,1410,1410,1007,1410
0.015,0,0,14.9526250137729,10.2150608169071,-6.23415141268744,0,0,9.97398842626748,4.7375641968658,0,0,0,10,0,1410,1410,1007,1410
0.02,0,0,14.916509016639,10.216180741177,-8.2033068564214,0,0,9.96532375627837,4.70032827546197,0,0,0,10,0,1410,1410,1007,1410
0.025,0,0,14.8706807381533,10.2151221909909,-10.1191883461202,0,0,9.95674960155117,4.65555854716238,0,0,0,10,0,1410,1410,1007,1410
0.03,0,0,14.8154046920978,10.2117008029333,-11.982536233066,0,0,9.94818559851538,4.60370388916452,0,0,0,10,0,1410,1410,1007,1410
0.035,0,0,14.7509416959067,10.2057792385717,-13.7940936770963,0,0,9.93963460519944,4.54516245733502,0,0,0,10,0,1410,1410,1007,1410
0.04,0,0,14.6775488087648,10.1972293094257,-15.5546205299028,0,0,9.93109953796197,4.48031949933902,0,0,0,10,0,1410,1410,1007,1410
0.045,0,0,14.595479251262,10.1859335589935,-17.2648923273674,0,0,9.92258740304033,4.40954569226851,0,0,0,10,0,1410,1410,1007,1410
0.05,0,0,14.504982331197,10.1717793898244,-18.9256979173032,0,0,9.91409717764929,4.33320294137261,0,0,0,10,0,1410,1410,1007,1410
0.055,0,0,14.406303384348,10.1546641579697,-20.5378372479509,0,0,9.90563192043539,4.25163922637825,0,0,0,10,0,1410,1410,1007,1410
0.06,0,0,14.2996837203261,10.1344931272281,-22.1021205947036,0,0,9.89719472741035,4.16519059309802,0,0,0,10,0,1410,1410,1007,1410
0.065,0,0,14.1853605733383,10.1111811292266,-23.6193678463557,0,0,9.888793167779,4.07417944411173,0,0,0,10,0,1410,1410,1007,1410
0.07,0,0,14.0635670576927,10.0846465735807,-25.0904063663206,0,0,9.8804259559039,3.978920484112,0,0,0,10,0,1410,1410,1007,1410
0.075,0,0,13.9345321372391,10.0548167076194,-26.5160690137716,0,0,9.87209627264574,3.87971542961964,0,0,0,10,0,1410,1410,1007,1410
0.08,0,0,13.7984805985265,10.0216255546696,-27.8971936481293,0,0,9.86380731880893,3.77685504385683,0,0,0,10,0,1410,1410,1007,1410
0.085,0,0,13.6556330276631,9.98501541370961,-29.2346226137038,0,0,9.85556671394439,3.67061761395344,0,0,0,10,0,1410,1410,1007,1410
0.09,0,0,13.5062057908588,9.94493145274317,-30.5292008885977,0,0,9.84737328281424,3.56127433811563,0,0,0,10,0,1410,1410,1007,1410
0.095,0,0,13.3504110272585,9.90132644761465,-31.7817743822833,0,0,9.83923026355242,3.44908457964387,0,0,0,10,0,1410,1410,1007,1410
0.1,0,0,13.1884566445124,9.85415892701945,-32.9931896184653,0,0,9.83114089988607,3.33429771749297,0,0,0,10,0,1410,1410,1007,1410
0.105,0,0,13.0205463170916,9.80339448028542,-34.1642933933804,0,0,9.82311277663121,3.21715183680621,0,0,0,10,0,1410,1410,1007,1410
0.11,0,0,12.8468794873473,9.74900102626878,-35.2959311885379,0,0,9.81514479903928,3.09787846107849,0,0,0,10,0,1410,1410,1007,1410
0.115,0,0,12.6676513773342,9.69095293604404,-36.3889457203469,0,0,9.80724020919211,2.97669844129012,0,0,0,10,0,1410,1410,1007,1410
0.12,0,0,12.4830530025182,9.62922941537425,-37.444176776403,0,0,9.7994022430472,2.85382358714396,0,0,0,10,0,1410,1410,1007,1410
0.125,0,0,12.2932711873937,9.56381559908346,-38.4624610228382,0,0,9.79163837294363,2.72945558831021,0,0,0,10,0,1410,1410,1007,1410
0.13,0,0,12.0984885830272,9.49469855621563,-39.4446306570426,0,0,9.78394756845857,2.60379002681153,0,0,0,10,0,1410,1410,1007,1410
0.135,0,0,11.8988836939593,9.42187073263715,-40.3915121851612,0,0,9.7763330322226,2.47701296132219,0,0,0,10,0,1410,1410,1007,1410
0.14,0,0,11.6946309062588,9.34532859075299,-41.3039263874157,0,0,9.76879795126181,2.34930231550579,0,0,0,10,0,1410,1410,1007,1410
0.145,0,0,11.4859005167708,9.26507347949801,-42.1826882508407,0,0,9.76134961603986,2.22082703727276,0,0,0,10,0,1410,1410,1007,1410
0.15,0,0,11.2728587635938,9.18110840342752,-43.0286058383087,0,0,9.75398705387415,2.09175036016625,0,0,0,10,0,1410,1410,1007,1410
0.155,0,0,11.0556678646258,9.09344075414417,-43.8424792701532,0,0,9.74671339295639,1.96222711048162,0,0,0,10,0,1410,1410,1007,1410
0.16,0,0,10.8344860566483,9.00208121570514,-44.6251007954697,0,0,9.7395317382811,1.83240484094314,0,0,0,10,0,1410,1410,1007,1410
0.165,0,0,10.6094676350039,8.90704440922488,-45.3772548279042,0,0,9.7324491364187,1.70242322577898,0,0,0,10,0,1410,1410,1007,1410
0.17,0,0,10.3807629939142,8.80834642263974,-46.0997170079943,0,0,9.72546467358269,1.57241657127445,0,0,0,10,0,1410,1410,1007,1410
0.175,0,0,10.1485186736972,8.70600683076428,-46.7932533660801,0,0,9.71858137561994,1.44251184293296,0,0,0,10,0,1410,1410,1007,1410
0.18,0,0,9.91287740801616,8.60004786425968,-47.4586204781819,0,0,9.71180223917137,1.31282954375649,0,0,0,10,0,1410,1410,1007,1410
0.185,0,0,9.67397817122752,8.4904948369333,-48.0965655841225,0,0,9.70513401146127,1.18348333429423,0,0,0,10,0,1410,1410,1007,1410
0.19,0,0,9.43195622588584,8.37737440491755,-48.7078258213063,0,0,9.69857584488286,1.05458182096829,0,0,0,10,0,1410,1410,1007,1410
0.195,0,0,9.18694317608952,8.26071590326414,-49.2931275473692,0,0,9.69213064096794,0.926227272825372,0,0,0,10,0,1410,1410,1007,1410
0.2,0,0,8.93906702045276,8.14055076679087,-49.8531865610889,0,0,9.68580126735895,0.798516253661888,0,0,0,10,0,1410,1410,1007,1410
0.205,0,0,8.68845220477978,8.01691275617374,-50.3887082839227,0,0,9.67959412236508,0.67153944860604,0,0,0,10,0,1410,1410,1007,1410
0.21,0,0,8.4352196745068,7.88983689079347,-50.9003871447791,0,0,9.67350843658024,0.545382783713321,0,0,0,10,0,1410,1410,1007,1410
0.215,0,0,8.17948693203326,7.75936015446685,-51.3889060424319,0,0,9.66754697021576,0.42012677756641,0,0,0,10,0,1410,1410,1007,1410
0.22,0,0,7.92136809336416,7.62552114815248,-51.8549366138839,0,0,9.66171244601852,0.29584694521169,0,0,0,10,0,1410,1410,1007,1410
0.225,0,0,7.66097394414567,7.4883601377141,-52.2991394622909,0,0,9.65601086914225,0.172613806431578,0,0,0,10,0,1410,1410,1007,1410
0.23,0,0,7.3984119951661,7.34791858411091,-52.7221636739417,0,0,9.65044156395596,0.0504934110551933,0,0,0,10,0,1410,1410,1007,1410
0.235,0,0,7.13378654189185,7.20423929171943,-53.1246464022255,0,0,9.64500713649903,-0.0704527498275755,0,0,0,10,0,1410,1410,1007,1410
0.24,0,0,6.86719872308032,7.057366265887,-53.5072131678529,0,0,9.63971015269992,-0.190167542806687,0,0,0,10,0,1410,1410,1007,1410
0.245,0,0,6.59874657855588,6.90734461072065,-53.8704781180392,0,0,9.63455618520145,-0.308598032164769,0,0,0,10,0,1410,1410,1007,1410
0.25,0,0,6.32852510622531,6.75422056383255,-54.2150436587065,0,0,9.62954467027762,-0.42569545760724,0,0,0,10,0,1410,1410,1007,1410
0.255,0,0,6.05662632236291,6.59804117749322,-54.5415001436625,0,0,9.62467805042899,-0.541414855130319,0,0,0,10,0,1410,1410,1007,1410
0.26,0,0,5.78313932080956,6.43885434843977,-54.8504261930171,0,0,9.61995872617982,-0.655715027630217,0,0,0,10,0,1410,1410,1007,1410
0.265,0,0,5.508150331174,6.27670859819043,-55.1423889703491,0,0,9.6153918028436,-0.768558267016433,0,0,0,10,0,1410,1410,1007,1410
0.27,0,0,5.23174277611479,6.11165350723788,-55.4179439150049,0,0,9.61097684844968,-0.879910731123081,0,0,0,10,0,1410,1410,1007,1410
0.275,0,0,4.95399733120637,5.94373903193709,-55.6776345220434,0,0,9.60671613552983,-0.989741700730718,0,0,0,10,0,1410,1410,1007,1410
0.28,0,0,4.67499198361784,5.77301566981266,-55.9219926670238,0,0,9.60261189343495,-1.09802368619482,0,0,0,10,0,1410,1410,1007,1410
0.285,0,0,4.39480208969323,5.599534157743,-56.1515388896337,0,0,9.59866872959805,-1.20473206804977,0,0,0,10,0,1410,1410,1007,1410
0.29,0,0,4.11350043151232,5.42334619220692,-56.3667822128154,0,0,9.59488636468,-1.3098457606946,0,0,0,10,0,1410,1410,1007,1410
0.295,0,0,3.8311572754198,5.24450349344157,-56.5682200009011,0,0,9.59126689730469,-1.41334621802177,0,0,0,10,0,1410,1410,1007,1410
0.3,0,0,3.54784042931912,5.06305806670884,-56.7563382806471,0,0,9.58781238227348,-1.51521763738972,0,0,0,10,0,1410,1410,1007,1410
