time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,0,0,-15,-12.8569265013946,0,0,0,16,-2.14307349860544,0,0,0,-12,0,1410,1410,2029,1410
0.005,0,0,-14.9850387979159,-12.8822870022157,5.94648903387904,0,0,16.0108228034517,-2.10275179570026,0,0,0,-12,0,1410,1410,2029,1410
0.01,0,0,-14.9409128115444,-12.9030952202726,11.6663839322119,0,0,16.0216464740251,-2.03781759127183,0,0,0,-12,0,1410,1410,2029,1410
0.015,0,0,-14.8687476953974,-12.9185693157068,17.1626613275278,0,0,16.0324594855711,-1.95017837969065,0,0,0,-12,0,1410,1410,2029,1410
0.02,0,0,-14.7696534913263,-12.9279942034098,22.4385851714761,0,0,16.0432502421208,-1.84165928791649,0,0,0,-12,0,1410,1410,2029,1410
0.025,0,0,-14.6447232183462,-12.9307257024652,27.4977041718564,0,0,16.054079359264,-1.71399751588103,0,0,0,-12,0,1410,1410,2029,1410
0.03,0,0,-14.4950315170015,-12.9261638589197,32.3438007656072,0,0,16.0648629380421,-1.56886765808176,0,0,0,-12,0,1410,1410,2029,1410
0.035,0,0,-14.3216336583668,-12.9137761727239,36.9808448133252,0,0,16.0755893528932,-1.40785748564292,0,0,0,-12,0,1410,1410,2029,1410
0.04,0,0,-14.125564581001,-12.8930853717653,41.4129957710579,0,0,16.086247022691,-1.2324792092357,0,0,0,-12,0,1410,1410,2029,1410
0.045,0,0,-13.9078379993147,-12.8636664778926,45.6445799554925,0,0,16.0968206349089,-1.04417152142213,0,0,0,-12,0,1410,1410,2029,1410
0.05,0,0,-13.6694456207425,-12.8251449708428,49.6800712930626,0,0,16.1073025673141,-0.844300649899767,0,0,0,-12,0,1410,1410,2029,1410
0.055,0,0,-13.4113564511053,-12.7771932726017,53.5240729336274,0,0,16.1176815081884,-0.634163178503535,0,0,0,-12,0,1410,1410,2029,1410
0.06,0,0,-13.1345161991153,-12.7195286033545,57.1812975740014,0,0,16.1279462750378,-0.41498759576086,0,0,0,-12,0,1410,1410,2029,1410
0.065,0,0,-12.8398467742407,-12.6519105283137,60.6565490911735,0,0,16.1380827138228,-0.187936245927036,0,0,0,-12,0,1410,1410,2029,1410
0.07,0,0,-12.5282458723861,-12.5741387770203,63.9547069457908,0,0,16.1480830684462,0.0458929046342086,0,0,0,-12,0,1410,1410,2029,1410
