time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,45,0,0.393180357480759,5.55111512312578e-17,0,0,0,13,0.393180357480759,0,-30.55,30.55,0.0364700877860353,0,1007,1007,1408,1410
0.005,44.982666749136,-6.82900125484879,0.393193578650878,0.0627643986744911,0.00456071704612348,-2.38173389414249e-06,0.0110201270038602,12.9997375891019,0.330429179976387,0.142063674926326,-30.55,30.55,0.0354990928495609,0,1007,1007,1408,1410
0.01,44.932708512077,-13.0594107990573,0.393041302756353,0.123208249877682,0.0179423450509667,0.000225023652625739,0.110469220322098,12.9995304705918,0.269833052878671,0.28350179980588,-30.55,30.55,0.030773379052464,0,1007,1007,1408,1410
0.015,44.8529926018444,-18.7416531505409,0.392457451835203,0.180861784754898,0.040316978381613,0.00101336697652091,0.290596868933407,12.9993790139848,0.211595667080305,0.423890353623586,-30.55,30.55,0.0266767622012163,0,1007,1007,1408,1410
0.02,44.7461447840753,-23.9219034232606,0.391202227016343,0.235326541303847,0.0704813957683931,0.00266714857056913,0.544287128201572,12.9992834770003,0.155875685712496,0.562836283908011,-30.55,30.55,0.0231254955891254,0,1007,1007,1408,1410
0.025,44.614569535697,-28.6424769368126,0.389058202577725,0.286263909827515,0.107251148244417,0.00546449502104665,0.865008493458818,12.9993132079939,0.10279429275021,0.69997139071917,-30.55,30.55,0.0200469810469831,0,1007,1007,1408,1410
0.03,44.4604685062943,-32.9421209229873,0.38582884722858,0.333386993323728,0.149477122708379,0.00965957137876022,1.24676680767194,12.9993990489584,0.0524418539048523,0.834960061405521,-30.55,30.55,0.0173782848263404,0,1007,1007,1408,1410
0.035,44.2858577191568,-36.8562890674077,0.381337084724274,0.376457664908397,0.196057358151326,0.0154847390608022,1.68406028273773,12.9995409758601,0.00487941981587698,0.967489236096973,-30.55,30.55,0.0150648510515184,0,1007,1007,1408,1410
0.04,44.092583199116,-40.4174505720167,0.375423905035381,0.415282114520226,0.245946027591279,0.0231524953609745,2.17183985041833,12.9997388925183,-0.0398582094848454,1.09726895327081,-30.55,30.55,0.0130593864395896,0,1007,1007,1408,1410
0.045,43.8823352272142,-43.6553416615607,0.367947034655153,0.449706636305919,0.298159405016561,0.0328572218464586,2.70547220660208,12.9999921703068,-0.0817596016507664,1.22403089617771,-30.55,30.55,0.0113208934887774,0,1007,1007,1408,1410
