time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,0,0,4.8,0,0,0,0,10,4.8,0,0,0,-2.11994345044508,22,1410,1410,1516,2029
0.005,4.39674839744216e-06,0.0248926186888065,4.79999891404591,-0.0149384593976256,-0.000649111406903824,-0.000730658815018282,-0.291145586691922,9.99994210572411,4.81493737344353,0.0142289483956061,0,0,-2.11972879099034,22,1410,1410,1516,2029
0.01,-8.22653523246657e-06,0.0421285289264433,4.79999131718106,-0.0295381323514334,-0.00259423969301583,-0.00292068840715497,-0.581685238801931,9.99989561746334,4.8295294495325,0.0298626582362468,0,0,-2.11868406963409,22,1410,1410,1516,2029
0.015,-7.45617006765384e-05,0.0522286842421019,4.79997051083542,-0.0438057134048409,-0.00592139887978696,-0.0065668154483362,-0.871527041344104,9.99986034119534,4.84377622424026,0.0468931693601057,0,0,-2.11777842377896,22,1410,1410,1516,2029
0.02,-0.000228742479952895,0.0556802350693606,4.79992979534753,-0.0577493924474926,-0.0105433988577761,-0.0116653188095282,-1.16058442943568,9.99983608693748,4.85767918779502,0.0653121000860808,0,0,-2.11699333940215,22,1410,1410,1516,2029
0.025,-0.000502509577251167,0.0529388299648576,4.79986288806664,-0.0713372692498888,-0.0163764205667462,-0.0182120592193965,-1.44877812753868,9.99990130279544,4.87120015731653,0.0851101418912192,0,0,-2.11631276710645,22,1410,1410,1516,2029
0.03,-0.000925365608621432,0.0444304802485548,4.79976390500908,-0.0846140574574727,-0.0233410767933574,-0.0262025148345539,-1.73603353779211,9.99997712186368,4.88437796246655,0.106278654447117,0,0,-2.11572279402413,22,1410,1410,1516,2029
0.035,-0.0015247191131979,0.0305534972361848,4.79962732873532,-0.0975878911455128,-0.03136372399756,-0.035631792364496,-2.02227817709206,10.0000633675371,4.89721521988083,0.128808164955113,0,0,-2.11521135939762,22,1410,1410,1516,2029
0.04,-0.00232601893518343,0.0116804502446529,4.79944798346633,-0.110266859725384,-0.0403745053710319,-0.0464946444492326,-2.30744368934839,10.0001598682119,4.90971484319172,0.152688881259005,0,0,-2.11476800802273,22,1410,1410,1516,2029
0.045,-0.00335287988845098,-0.0118401452965185,4.7992210148014,-0.122659240562677,-0.0503070472735203,-0.0587854895059655,-2.59146557730142,10.0002660047175,4.92188025536408,0.177910720475555,0,0,-2.11438367651401,22,1410,1410,1516,2029
0.05,-0.00462720019644495,-0.039682250188201,4.79894187110688,-0.134772819897137,-0.0610981781246791,-0.0724984302947178,-2.87428297750282,10.0003820676847,4.93371469100402,0.204463308065124,0,0,-2.11405050802293,22,1410,1410,1516,2029
0.055,-0.00616927126340168,-0.071540828564753,4.79860628649618,-0.146615550245325,-0.0726876811290852,-0.0876272714627233,-3.1558384509625,10.0005078995529,4.9452218367415,0.23233601712004,0,0,-2.11376169162111,22,1410,1410,1516,2029
0.06,-0.00799788027226508,-0.107130471892486,4.79821026510111,-0.158195336484564,-0.0850180959846253,-0.104165535972292,-3.43607776256877,10.000643347121,4.95640560158567,0.261517979260827,0,0,-2.11351132306529,22,1410,1410,1516,2029
0.065,-0.0101304060809827,-0.14618411313083,4.79775006649122,-0.169520066388729,-0.0980345386244075,-0.122106480505172,-3.71494968559552,10.0007881994906,4.96727013287995,0.29199810271765,0,0,-2.11329428409746,22,1410,1410,1516,2029
0.07,-0.0125829088593178,-0.188451825504891,4.79722219211981,-0.180597515108067,-0.111684540674188,-0.141443109930872,-3.99240582260708,10.0009423736645,4.97781970722787,0.323765082775988,0,0,-2.11310613781287,22,1410,1410,1516,2029
