time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,0,0,-2.14307349860544,4.44089209850063e-16,0,0,0,16,-2.14307349860544,0,0,0,1.27754927761387,-22,1410,1410,1355,1007
0.005,-0.000227466383087084,-0.0577900058866409,-2.14307344307557,0.000283648572383388,3.07490950330737e-05,0.00186449590889309,0.74487700799321,15.9998496500183,-2.14335709164795,-0.0234274715873674,0,0,1.27761583792849,-22,1410,1410,1355,1007
0.01,-0.000806389080639386,-0.0854981298611486,-2.14307311696738,0.000554353293288123,8.85105034116161e-05,0.00744945566937172,1.48704413243558,15.9997018044661,-2.14362747026067,-0.0504253515465429,0,0,1.27793977885272,-22,1410,1410,1355,1007
0.015,-0.00159398677629357,-0.0863428156361912,-2.14307258345249,0.00081354362566799,5.63833943474885e-05,0.016739859261561,2.22592638250698,15.9995568041103,-2.14388612707816,-0.0809791674563713,0,0,1.27822059608077,-22,1410,1410,1355,1007
0.02,-0.00246263649907533,-0.0632159275247336,-2.14307210530366,0.00106174177010931,-3.88059793753914e-05,0.0297179408139724,2.96100028930635,15.9994149777685,-2.14413384707377,-0.115070776365268,0,0,1.27846403032963,-22,1410,1410,1355,1007
0.025,-0.0032983354570806,-0.0187162610441062,-2.1430718198834,0.00129017335581239,-0.000170922753057125,0.0463634394224238,3.69179236759209,15.9993521898932,-2.14436199323921,-0.1526781411743,0,0,1.2786750581,-22,1410,1410,1355,1007
0.03,-0.00399932050666035,0.0448206975419225,-2.14307176937944,0.00151007390964475,-0.000313504981889967,0.0666538376485541,4.41787107820705,15.9992931848997,-2.14458184328908,-0.193777318511256,0,0,1.27885799341038,-22,1410,1410,1355,1007
0.035,-0.00447482712802454,0.125295644197883,-2.14307191751584,0.00172130052111852,-0.000439238258456211,0.0905645436784699,5.13883932451002,15.9992382502564,-2.14479321803696,-0.238341138386673,0,0,1.27901657598803,-22,1410,1410,1355,1007
0.04,-0.00464397717311895,0.2208211046678,-2.14307216912451,0.00192347306221974,-0.000521458524760656,0.118069066104922,5.85433433022087,15.9991876583233,-2.14499564218673,-0.286339968380038,0,0,1.27915404771987,-22,1410,1410,1355,1007
0.045,-0.00443478099912832,0.329699740076619,-2.14307238981669,0.00211603046975473,-0.00053438550428838,0.14913917731763,6.56402436027544,15.9991411149956,-2.14518842028644,-0.337741956083901,0,0,1.27927321892605,-22,1410,1410,1355,1007
